Idade,Gênero,Nível_Acadêmico,País,Média_Uso_Diário,Plataforma_Mais_Utilizada,Afeta_Desempenho_Acadêmico,Horas_Sono,Pontuação_Saúde_Mental,Nível_Vício
24,Masculino,Pós-Graduação,China,5.5,WeChat,Sim,6.8,6,7
19,Feminino,Graduação,Japão,4.2,Twitter,Não,7.5,8,4
22,Masculino,Pós-Graduação,Polônia,6.3,TikTok,Sim,6.2,5,8
20,Feminino,Graduação,Finlândia,4.4,Instagram,Não,7.4,7,5
23,Masculino,Pós-Graduação,Espanha,6.5,Facebook,Sim,6.1,5,8
21,Feminino,Graduação,Dinamarca,4.6,Twitter,Não,7.3,7,5
24,Masculino,Pós-Graduação,Irlanda,5.9,Instagram,Sim,6.5,6,7
19,Feminino,Graduação,Índia,7.0,TikTok,Sim,5.8,4,9
22,Masculino,Pós-Graduação,Suíça,4.5,Facebook,Não,7.3,7,5
20,Feminino,Graduação,Turquia,6.6,Instagram,Sim,6.1,5,8
23,Masculino,Pós-Graduação,Estados Unidos,5.5,Twitter,Sim,6.7,6,7
21,Feminino,Graduação,México,6.3,TikTok,Sim,6.2,5,8
24,Masculino,Pós-Graduação,França,4.8,Facebook,Não,7.1,7,5
19,Feminino,Graduação,Canadá,5.7,Instagram,Sim,6.6,6,7
22,Masculino,Pós-Graduação,Reino Unido,6.2,Twitter,Sim,6.3,5,8
20,Feminino,Graduação,Itália,4.7,TikTok,Não,7.2,7,5
23,Masculino,Pós-Graduação,Rússia,6.8,Instagram,Sim,5.9,4,9
21,Feminino,Graduação,China,5.6,WeChat,Sim,6.7,6,7
24,Masculino,Pós-Graduação,Japão,4.3,Twitter,Não,7.5,8,4
19,Feminino,Graduação,Polônia,6.2,Facebook,Sim,6.3,5,8
